                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9388,                 3.2924,                 2.2265,                0.69757,                0.96779,                0.88945,                0.70517,                 1.7206,                  1.544,                 2.5206,              0.0011059,              0.0011059,              0.0011059
                     36,                 2.0208,                 3.4063,                 2.3267,                0.77941,                0.94776,                0.95481,                0.75613,                 1.7708,                 1.3064,                 2.5217,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.8979,                 3.3302,                 2.2795,                0.92344,                0.91305,                0.97873,                0.75772,                 1.8557,                 1.2496,                 2.5219,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.7716,                 3.1956,                 2.3268,                0.89392,                 0.9206,                0.95763,                0.75158,                 1.8112,                 1.3785,                 2.5144,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.7179,                 2.9612,                 2.2388,                0.92354,                0.92592,                0.98786,                0.79554,                  1.758,                 1.2841,                 2.5513,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.7526,                 3.0443,                 2.2534,                0.83416,                0.90294,                 0.9575,                0.77155,                 1.7915,                 1.1704,                 2.6135,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.8409,                  3.125,                  2.336,                0.85646,                0.96667,                0.97458,                0.75025,                 1.8487,                 1.0293,                 2.5671,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.8652,                 3.0465,                 2.3521,                0.88268,                0.89791,                0.95207,                0.71318,                 1.8497,                 1.1874,                 2.5801,             0.00099036,             0.00099036,             0.00099036
                     43,                   1.94,                 3.0723,                 2.3366,                0.92349,                0.93958,                 0.9868,                0.75254,                 1.9125,                 1.0041,                  2.623,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.8397,                 2.9936,                 2.3732,                0.98946,                0.96358,                0.99313,                0.77705,                 1.8584,                 0.9609,                  2.605,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.8069,                 2.8422,                 2.3421,                 0.9456,                 0.9886,                0.98875,                0.76409,                 1.8619,                0.97707,                 2.6335,             0.00094085,             0.00094085,             0.00094085
                     46,                  1.836,                  2.813,                 2.2738,                 0.9559,                0.92401,                0.98417,                0.75477,                 1.8611,                 1.0873,                 2.6399,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.7411,                 2.6769,                 2.1877,                0.81747,                0.87488,                0.91619,                0.71725,                  1.802,                 1.5576,                 2.5819,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.7819,                 2.7194,                 2.1793,                0.75324,                0.93333,                0.90916,                0.71895,                 1.7734,                 1.3798,                 2.5553,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.7428,                 2.5237,                 2.2529,                 0.9666,                0.86541,                  0.979,                 0.7686,                 1.7707,                0.95641,                 2.5718,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.7504,                 2.4697,                 2.2151,                0.93088,                0.91667,                0.98885,                0.77284,                 1.7474,                0.91437,                 2.5579,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.7871,                 2.6266,                 2.2541,                0.91799,                0.91667,                0.96097,                0.73416,                  1.867,                0.95608,                  2.626,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.8114,                 2.6738,                 2.3161,                 0.9346,                0.93064,                0.96949,                0.74065,                 1.8389,                0.94557,                 2.6191,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.7118,                 2.4347,                 2.2446,                      1,                 0.9572,                0.99313,                 0.7818,                  1.828,                0.89459,                 2.6439,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.7416,                 2.3667,                 2.1905,                0.97054,                0.96632,                  0.995,                0.77316,                 1.8115,                0.89205,                 2.6349,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.6674,                 2.4284,                 2.1878,                0.86351,                0.97818,                0.97397,                0.73294,                 1.8544,                0.93367,                 2.6485,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.7264,                 2.2348,                 2.1824,                0.82309,                0.98077,                0.97323,                0.75127,                 1.7988,                0.90023,                 2.6036,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.6894,                 2.2266,                 2.1434,                      1,                0.93203,                  0.995,                 0.7859,                 1.6856,                0.79446,                 2.5596,             0.00074282,             0.00074282,             0.00074282
                     58,                  1.827,                 2.6915,                 2.3702,                0.92531,                0.95883,                0.98532,                0.77172,                 1.6923,                0.82288,                  2.547,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.7399,                 2.2176,                   2.28,                 0.9294,                0.99003,                0.98914,                0.75515,                 1.7963,                0.83516,                 2.6056,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.6761,                 2.1316,                 2.1894,                0.88694,                      1,                  0.995,                 0.7795,                 1.7698,                0.85775,                 2.5786,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.7174,                  2.371,                 2.3341,                0.97375,                0.90368,                  0.995,                0.78157,                 1.7404,                0.85974,                  2.586,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.6469,                 2.3541,                 2.2546,                      1,                0.96201,                  0.995,                0.77761,                 1.6822,                0.83821,                 2.5346,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.7121,                 2.1535,                 2.1549,                0.95995,                      1,                  0.995,                0.78283,                 1.6704,                0.83536,                 2.4867,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.5015,                  2.083,                 2.1919,                0.97952,                0.99269,                  0.995,                0.78371,                 1.6749,                0.78837,                 2.4503,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.6646,                  2.065,                 2.2337,                0.97981,                0.92017,                0.99094,                0.79709,                 1.7002,                0.85167,                 2.4964,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.7078,                 2.0976,                 2.2768,                0.89268,                0.95527,                0.98357,                0.79257,                 1.6993,                0.84745,                 2.4719,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.6572,                 1.9657,                 2.0835,                0.92807,                0.98757,                0.97584,                0.77506,                 1.7124,                0.82296,                 2.4545,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.6536,                 2.1386,                  2.121,                 0.8873,                0.99749,                0.97178,                0.77653,                 1.7239,                0.82745,                 2.4726,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.6929,                 2.0217,                 2.1973,                0.98065,                0.86669,                0.97676,                0.76676,                 1.7304,                0.86516,                 2.4981,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.6963,                 2.0567,                 2.1096,                0.91096,                0.95495,                0.98538,                0.77178,                 1.7855,                 0.8418,                 2.5743,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.6922,                 2.0424,                 2.2424,                 0.9181,                0.95833,                0.99192,                0.77104,                 1.7983,                0.82129,                 2.6143,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.7208,                 2.0131,                 2.2601,                 0.9359,                0.98893,                0.98538,                0.76286,                 1.7654,                0.81594,                 2.5856,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.6178,                 2.0431,                 2.1167,                0.92563,                0.93163,                 0.9724,                0.76145,                 1.7249,                0.91586,                 2.5791,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.6551,                 2.0182,                 2.2249,                0.92768,                  0.925,                0.98226,                0.77081,                 1.6977,                0.82318,                 2.5556,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.6885,                 1.9278,                 2.1597,                0.97944,                0.98803,                  0.995,                0.77784,                 1.7057,                0.74586,                 2.5237,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.6122,                 1.9369,                 2.1402,                0.99641,                0.98289,                  0.995,                 0.7821,                 1.7035,                0.79579,                 2.5006,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.5787,                 1.8686,                 2.2254,                0.94612,                0.95833,                0.99192,                0.77831,                  1.817,                0.85981,                 2.5889,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.6421,                  1.894,                 2.1427,                0.92601,                      1,                0.98885,                0.77141,                 1.8164,                0.85321,                 2.6066,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.6496,                 1.8555,                  2.173,                  0.927,                0.95465,                0.98885,                0.78208,                 1.7589,                 0.8251,                 2.5532,             0.00037974,             0.00037974,             0.00037974
