                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9382,                 5.2259,                 2.3208,                0.86562,                0.88907,                0.96295,                0.70072,                 2.1954,                 3.4051,                 2.8053,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.9133,                 4.1207,                 2.1785,                0.85572,                      1,                0.96167,                0.64699,                 2.3288,                 3.0567,                 2.8689,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.9275,                 4.3255,                 2.2656,                      1,                0.92866,                  0.995,                0.68307,                 2.3339,                 2.9873,                 2.9108,              0.0010729,              0.0010729,              0.0010729
                     38,                 2.0432,                 4.3485,                 2.3778,                0.81668,                   0.95,                0.98167,                0.67498,                 2.2386,                 2.8925,                 2.8784,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.9422,                 4.4718,                 2.2964,                0.96661,                    0.8,                0.94885,                0.66875,                 2.1284,                 2.8549,                 2.7669,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.7943,                 3.9013,                 2.1836,                0.84249,                 0.9944,                  0.945,                0.68078,                 2.0931,                 2.8908,                 2.7882,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.8845,                 3.8229,                 2.3389,                      1,                0.96852,                  0.995,                0.74285,                 2.1971,                 2.7525,                 2.8711,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.8221,                 3.8472,                 2.2622,                      1,                0.98151,                  0.995,                0.74322,                 2.1387,                 2.8429,                 2.8029,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.8106,                 3.7642,                 2.2035,                0.99834,                0.94679,                0.99045,                0.74831,                 2.0893,                 2.4853,                 2.7375,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.7003,                 3.4773,                 2.1174,                0.90458,                      1,                0.98167,                0.72425,                 2.2386,                 2.1911,                 2.7466,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.8007,                 3.4328,                 2.1681,                0.91303,                0.98135,                0.98591,                 0.7372,                 2.2036,                 1.7447,                 2.6952,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.8801,                 3.7681,                 2.2018,                0.97436,                0.94898,                  0.995,                0.76197,                 2.1027,                 1.6385,                 2.6454,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.8995,                  3.167,                 2.2856,                0.99747,                0.99314,                  0.995,                0.76634,                 2.0045,                 1.6028,                 2.6095,             0.00090785,             0.00090785,             0.00090785
                     48,                   1.82,                 3.2717,                 2.2106,                      1,                 0.9813,                  0.995,                0.75081,                 1.9916,                 1.3177,                 2.5841,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.8015,                 3.3904,                 2.1468,                      1,                0.99189,                  0.995,                0.75209,                 1.9988,                 1.2607,                 2.5988,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.8282,                 3.3481,                  2.175,                0.98255,                0.96981,                  0.995,                0.73933,                 2.0853,                 1.2899,                 2.6972,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.8461,                 3.2005,                 2.2173,                0.93662,                      1,                  0.995,                0.74927,                 2.1256,                 1.2286,                 2.7131,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.8289,                 3.4476,                 2.3644,                0.93814,                0.96759,                  0.995,                0.75534,                 2.1428,                 1.2493,                 2.7712,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.7059,                  2.995,                 2.1777,                 0.8863,                0.93085,                  0.995,                0.75982,                 2.1391,                 1.3458,                 2.8184,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.7001,                   3.18,                 2.1917,                0.85901,                0.99178,                  0.995,                0.76536,                 2.1265,                  1.262,                 2.8783,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.7854,                  3.319,                 2.2129,                0.87328,                0.98385,                0.96846,                0.75212,                  2.053,                  1.163,                 2.8267,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.8769,                 3.1433,                 2.2363,                0.88779,                0.83255,                0.92575,                0.70895,                 2.0472,                   1.25,                 2.7803,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.6566,                 3.0772,                 2.0861,                0.89148,                0.87735,                 0.9475,                 0.7093,                 2.1024,                   1.16,                  2.781,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.5794,                 3.1383,                 2.1564,                0.99392,                0.84178,                0.93989,                0.71698,                 2.0465,                 1.1386,                 2.7313,             0.00072631,             0.00072631,             0.00072631
                     59,                  1.751,                 2.8961,                 2.1406,                0.87682,                   0.95,                0.94898,                0.71012,                 2.0561,                 1.1143,                 2.7236,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.7826,                 3.1956,                 2.2269,                0.88341,                0.94621,                0.95278,                0.73372,                 2.0796,                 1.1653,                 2.7893,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.6978,                 2.8531,                 2.2782,                0.90647,                0.98984,                0.98667,                0.75477,                 2.0674,                 1.1608,                 2.7813,              0.0006768,              0.0006768,              0.0006768
                     62,                  1.698,                 2.7301,                 2.1215,                0.91631,                0.87952,                0.97758,                0.74088,                 2.0587,                 1.2847,                 2.7544,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.5954,                  2.693,                 2.0665,                0.89786,                0.88978,                0.99045,                0.75228,                 2.0896,                 1.2329,                 2.7747,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.7637,                 2.7113,                 2.1521,                0.88509,                   0.95,                0.98667,                0.73536,                 2.1263,                 1.1505,                 2.7719,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.7853,                 2.8061,                 2.2535,                 0.9653,                0.99153,                  0.995,                 0.7351,                 2.1425,                 1.0129,                  2.788,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.5858,                  2.678,                 2.1132,                0.96875,                      1,                  0.995,                0.71556,                 2.1142,                 1.0269,                 2.7632,             0.00059429,             0.00059429,             0.00059429
                     67,                  1.696,                 2.7179,                 2.1631,                0.99616,                0.93782,                  0.995,                0.71323,                 2.1845,                 1.0342,                 2.8706,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.7293,                 2.5375,                 2.1892,                      1,                0.89447,                  0.995,                0.74139,                  2.139,                 1.0254,                 2.8508,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.6332,                 2.5494,                  2.111,                0.96248,                0.97439,                  0.995,                0.76146,                 2.0755,                0.94012,                 2.8117,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.6273,                 2.7048,                 2.1501,                      1,                0.98063,                  0.995,                0.76623,                 2.0842,                0.83157,                  2.792,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.5956,                 2.8759,                 2.2671,                0.98985,                0.99044,                  0.995,                0.76635,                   2.11,                0.80738,                 2.7883,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.6511,                 2.2687,                 2.1052,                0.99231,                      1,                  0.995,                0.75941,                  2.121,                0.82889,                 2.7843,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.6673,                 2.7521,                 2.1505,                0.91282,                0.94171,                0.98136,                0.73988,                 2.0798,                0.93116,                 2.7626,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.7867,                 2.6267,                 2.1187,                0.89523,                0.97901,                0.98667,                0.74067,                 2.0479,                0.95897,                 2.7422,             0.00046226,             0.00046226,             0.00046226
                     75,                  1.605,                 2.4904,                 2.1505,                0.93116,                      1,                0.98136,                0.74066,                 2.0407,                0.99506,                 2.7461,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.6113,                 2.5612,                 2.1149,                0.96181,                0.92384,                0.99045,                0.74816,                 2.0563,                 0.9653,                  2.771,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.6291,                 2.3845,                 2.0617,                0.93437,                      1,                0.98591,                0.74355,                 2.0741,                0.94536,                  2.808,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.6999,                 2.3471,                 2.1181,                0.93697,                0.97325,                0.98136,                0.74548,                   2.08,                0.96822,                 2.8387,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.7145,                 2.7592,                 2.2833,                0.89061,                 0.9731,                0.97667,                0.74351,                  2.077,                 1.0116,                 2.8775,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.6724,                 2.3035,                 2.1406,                0.92734,                 0.9563,                0.99045,                 0.7329,                 2.1175,                 1.0311,                 2.9339,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.6449,                 2.4456,                 2.1507,                0.99965,                0.89545,                0.97437,                0.73007,                 2.0827,                 1.1056,                 2.8529,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.6892,                 2.2666,                 2.2141,                0.86156,                   0.95,                0.96882,                0.72346,                 2.0416,                 1.1084,                 2.7918,             0.00033023,             0.00033023,             0.00033023
                     83,                  1.766,                 2.5598,                 2.2391,                      1,                0.89329,                0.97833,                0.71782,                 2.1184,                 1.0638,                 2.7889,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.5146,                 2.3897,                 2.1328,                0.99173,                0.97929,                  0.995,                0.73247,                 2.1187,                0.98803,                 2.7615,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.6345,                 2.6261,                 2.2067,                      1,                0.97891,                  0.995,                0.74052,                 2.1055,                0.93259,                 2.7449,             0.00028072,             0.00028072,             0.00028072
                     86,                  1.657,                 2.1422,                 2.1057,                0.97192,                0.97693,                  0.995,                0.74079,                 2.1263,                 0.8604,                 2.7597,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.6368,                  2.412,                 2.1326,                0.89941,                0.99198,                0.98136,                0.74013,                 2.1258,                0.83156,                 2.7587,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.5357,                 2.2112,                 2.0615,                0.98729,                0.94089,                0.99045,                0.73825,                 2.1291,                0.82381,                 2.7608,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.5427,                 2.2018,                 2.0633,                0.96027,                   0.95,                0.99045,                0.73373,                 2.1387,                0.84107,                 2.7708,             0.00021471,             0.00021471,             0.00021471
                     90,                  1.615,                   2.39,                 2.1919,                0.94255,                   0.95,                0.98212,                0.72911,                 2.1206,                0.85839,                 2.7635,             0.00019821,             0.00019821,             0.00019821
                     91,                   1.46,                 2.8821,                 2.1544,                0.93909,                0.97944,                  0.995,                0.73006,                 2.1298,                0.84391,                 2.7559,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.4791,                 2.7708,                 2.1604,                0.94141,                0.93543,                0.99045,                 0.7378,                 2.1246,                0.86393,                 2.7547,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.4758,                  2.743,                 2.1885,                0.91599,                0.97504,                0.99045,                0.74425,                   2.11,                0.90302,                  2.755,              0.0001487,              0.0001487,              0.0001487
                     94,                   1.49,                 2.7364,                 2.1619,                0.99695,                0.94503,                0.99045,                0.74404,                 2.1222,                0.94857,                 2.7582,             0.00013219,             0.00013219,             0.00013219
                     95,                  1.476,                  2.795,                 2.1576,                0.98706,                0.93585,                0.99045,                 0.7493,                 2.1125,                0.97164,                 2.7683,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.4466,                 2.7783,                 2.1386,                 0.9608,                0.94796,                0.99045,                0.75086,                 2.0872,                 1.0113,                 2.7681,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.4631,                 2.7825,                 2.1882,                 0.9912,                0.96761,                  0.995,                0.75408,                 2.0484,                  1.039,                 2.7559,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.4946,                  2.739,                 2.1756,                0.97756,                0.93834,                  0.995,                0.75801,                 2.0437,                  0.994,                 2.7615,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.4744,                 2.6859,                 2.1528,                0.89815,                      1,                0.98136,                 0.7438,                 1.9929,                 1.0046,                 2.7285,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.4386,                 2.6977,                 2.1821,                0.91858,                0.99295,                0.98136,                0.73668,                 1.9967,                0.98801,                 2.7312,             3.3173e-05,             3.3173e-05,             3.3173e-05
